"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"X78761_yhfY",0.0515096508007174,0.00574148320899656,0.00281768189244099,0.0276816031484038,0.0760529205598627
"X79539_ulaA",0.00638182304146006,0.0852369224646378,0.0712148603920756,0.000616643116136214,0.0150772678020086
"X77658_rcsD",0.0155505838019866,0.0184838699905999,0.0716492504056049,0.000706159518524995,0.0699966550373289
"X78107_yqaA",0.000152328121160831,0.00182983594326673,0.109365614813012,0.0437644972499281,0.0809260124010076
"X77632_yejM",0.0189682450797047,0.0511153281227307,0.0637617352635639,0.0229849912059876,4.07719777279464e-05
"X77125_ribC",0.0667877487956518,0.0190448851461602,0.0164971030744043,0.00142021370400445,0.000709396037262052
"X79286_zapB",0.000705696111409782,0.0626635292259936,0.053692178008933,0.0289301610822,0.00563372571865034
"X78214_fucP",0.0432122832665089,0.0572726266045518,0.00010789312016126,0.0133753881820465,0.0218733095720892
"X76666_prmC",0.0328443072304768,0.057057626446847,0.0233095403351829,0.0164813790821982,0.000822565531841291
"X4387_Hypothetical_protein..",0.0127447735115534,0.043327539315704,0.101038660776799,0.00110029028303553,0.00667708859982817
"X76418_helD",0.0450376745208226,0.0025328715130008,0.000372090742459842,0.0205149696082857,0.0110611557599092
"X77456_dacD",0.0155163893145543,0.0344813206190441,0.0100985872362031,0.0116813604012691,0.00497428250205324
"X78221_gcvA",0.00826009422650605,0.062855714611679,0.0896768016860875,0.0107995891005051,0.0055329388364355
"X79527_yjfI",0.00223929029736172,0.0590004333417244,0.0897427201860333,0.00413156555633541,0.00279874392395335
"X78956_sgbH",0.0355179445824647,0.00304152730473953,0.0950961584825327,0.0130688939368777,0.0272599318436841
"X77167_ydiU",0.0536479207916979,0.022427682174156,0.035431234246899,0.00478040339391657,0.00310421722628274
"X77850_crr",0.0458128312043909,0.00294755811275664,0.0177547265430942,0.00191910039689584,8.76647630477625e-05
"X76128_gltJ",0.0526166379179742,0.000848447209740295,0.033168932725253,0.0396345038804786,1.92243106364587e-07
"X78364_mutY",0.00223911950100392,0.0669714728274019,0.0582474888154574,0.000214010780162297,0.0593521500141111
"X79390_yjbJ",0.066343025307143,0.00480514400875127,3.20095282141628e-05,0.0431476017876817,0.0237535469314998
