,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
PROKKA_04572,112.08455002169916,146.1402885938223,66.21973491995318,68.15767665602597
PROKKA_04573,62.44620190566071,124.1143488533323,52.65686673585361,53.88679489283079
PROKKA_04574,0.6782605345283751,0.8101018840878436,5.579963351998573,10.08375162307768
PROKKA_04575,2.6329948123491493,4.149717933868692,16.245985662198336,14.446345699070733
PROKKA_04576,0.3600589613396853,1.3882244403711343,1.151950872521116,3.568682879200036
PROKKA_04577,2.337518127757011,3.416389970677394,1.7170058058602706,3.9992452414688286
PROKKA_04578,5.960296879790019,9.639030020489153,2.6166959181517035,8.315245739328896
PROKKA_04579,0.3487197791462421,0.7174239818111694,0.9780250136674146,10.840200721881413
PROKKA_04580,24.299998423097133,53.47482230123271,18.424584027258604,49.52833570987603
PROKKA_04581,20.382856592158937,51.18153966721713,13.002318247573411,54.60559962672234
PROKKA_04582,48.34731441003865,113.16111063979164,33.43838956325154,129.3211408124019
PROKKA_04583,6.596052812107459,5.89228548995731,8.874145463590239,28.325511080863603
PROKKA_04584,9.789275995724527,38.00457435903711,3.352891186477634,36.67159573493433
PROKKA_04585,2.285523225212348,2.081013475739279,4.627229305809948,39.02281509223064
PROKKA_04586,51.8575751580186,103.01713034287005,17.14121078039148,31.761475352696152
PROKKA_04587,13.640133285591252,15.182432694193386,4.421540388509956,13.837649219395205
PROKKA_04588,2.0693130375435334,5.602596483528516,3.384284342090023,13.652579588745587
PROKKA_04589,31.82741321960615,91.427129662309,7.984177878907478,26.822200018429307
PROKKA_04590,27.514852837903423,84.64217464840698,9.908807519663798,14.90887001291684
PROKKA_04591,17.548525015531958,21.77506309676161,18.14373301950712,55.64590629095293
PROKKA_04592,26.471001417010196,60.857033381596615,22.931124227735864,74.01800170420266
PROKKA_04593,39.34193144731695,62.46969321620757,34.622085483826474,96.46207598891574
PROKKA_04594,0.03613788589352928,0.0,0.44595270247770175,0.0
PROKKA_04595,0.0,0.0,0.0,0.0
PROKKA_04596,3.315697600171896,7.117567021610374,8.082318051090718,10.751525839239397
PROKKA_04597,0.5481733263468052,0.6855601918833164,1.0680992519833783,3.074022879746887
PROKKA_04598,9.330372776688742,2053.492607628947,6.4685218725726035,139.75443737382082
PROKKA_04599,17.8330956914595,59.76977864104941,18.17508739684498,248.75289848739683
PROKKA_04600,0.30252573048011655,2.4817745313653523,0.9333152987569042,8.620540574067599
PROKKA_04601,0.05735861628821278,0.05192190897614964,0.14156461736291073,0.0
PROKKA_04602,3.692265142298839,3.6252413309675844,4.098321791589358,87.42248831811534
PROKKA_04603,20.040396984189663,21.635160691688796,6.010105331006982,37.90202862577978
PROKKA_04604,2.250827665398472,3.6229911081464055,1.5648400218678633,24.50827989294928
PROKKA_04605,1.1172240216845692,2.038968770634195,0.9784244792958697,15.038170344675295
