K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b1341,10735.0,95.0,7014.0,44.0,29.0,1376.0,9494.0,244.0,575.0,7491.0,15.0,68.0
b2531,13158.0,4306.0,19187.0,787.0,8196.0,26442.0,49548.0,3407.0,25285.0,58675.0,2177.0,3363.0
b2283,24018.0,2782.0,83588.0,2567.0,3503.0,63235.0,38953.0,5637.0,46401.0,47042.0,1805.0,9424.0
b1582,960.0,103.0,1068.0,71.0,152.0,816.0,1596.0,41.0,563.0,2005.0,94.0,157.0
b2182,1665.0,303.0,1648.0,239.0,757.0,915.0,2385.0,380.0,781.0,1677.0,253.0,483.0
b0214,842.0,321.0,1114.0,60.0,637.0,1379.0,1836.0,253.0,730.0,1383.0,278.0,233.0
b3162,3771.0,9873.0,2564.0,7286.0,32080.0,14576.0,11372.0,5631.0,13293.0,12437.0,5607.0,11873.0
b4188,419.0,33.0,313.0,39.0,7.0,441.0,693.0,97.0,243.0,701.0,2.0,181.0
b0875,2043.0,179.0,1683.0,203.0,143.0,628.0,1486.0,188.0,302.0,316.0,75.0,242.0
b1792,1809.0,48.0,1911.0,66.0,66.0,1407.0,3185.0,426.0,1321.0,3798.0,58.0,439.0
b2946,2052.0,336.0,4300.0,276.0,849.0,6499.0,5864.0,979.0,5602.0,5009.0,294.0,943.0
b3850,1373.0,598.0,2311.0,153.0,746.0,3291.0,2696.0,576.0,2775.0,2944.0,473.0,729.0
b2889,1738.0,124.0,1820.0,109.0,214.0,1692.0,6593.0,579.0,744.0,2200.0,55.0,190.0
b3468,3329.0,157.0,4169.0,297.0,377.0,5179.0,5361.0,726.0,2946.0,2280.0,115.0,1054.0
b3858,4662.0,1404.0,7672.0,511.0,3387.0,32657.0,36322.0,12992.0,51090.0,38423.0,1055.0,7631.0
b2258,542.0,7.0,491.0,16.0,15.0,255.0,664.0,76.0,194.0,334.0,11.0,34.0
b1645,445.0,109.0,438.0,257.0,152.0,358.0,547.0,199.0,271.0,686.0,54.0,268.0
b0891,7986.0,1335.0,7236.0,606.0,2566.0,11575.0,19230.0,2089.0,11103.0,19016.0,860.0,2104.0
b3379,150.0,16.0,206.0,12.0,19.0,155.0,205.0,16.0,172.0,289.0,13.0,25.0
b1522,4214.0,504.0,3044.0,191.0,463.0,1180.0,4484.0,333.0,710.0,2311.0,242.0,276.0
b2894,3256.0,716.0,3990.0,456.0,2116.0,6665.0,6979.0,1090.0,4647.0,5455.0,635.0,1445.0
b3304,10860.0,10813.0,62296.0,6984.0,27100.0,159295.0,27264.0,20859.0,224748.0,56552.0,7711.0,38504.0
b0014,59501.0,29293.0,224637.0,10237.0,17245.0,267634.0,84106.0,47962.0,185669.0,71637.0,7237.0,58476.0
b0086,5617.0,1130.0,8305.0,661.0,2595.0,19828.0,13041.0,1897.0,11302.0,11118.0,1124.0,1957.0
b3819,638.0,206.0,1542.0,48.0,149.0,1134.0,272.0,51.0,771.0,408.0,84.0,44.0
b4074,65.0,12.0,109.0,86.0,14.0,65.0,165.0,83.0,94.0,180.0,12.0,153.0
b3231,5143.0,19189.0,58002.0,4824.0,50146.0,146930.0,16667.0,16983.0,114304.0,24752.0,19190.0,25137.0
b4194,133.0,11.0,381.0,379.0,27.0,431.0,366.0,1150.0,329.0,270.0,8.0,2426.0
b4109,4081.0,249.0,4843.0,832.0,301.0,7307.0,5363.0,742.0,1354.0,3737.0,67.0,1475.0
b3541,946.0,179.0,1382.0,103.0,145.0,1183.0,2903.0,393.0,273.0,3034.0,317.0,103.0
b1760,1221.0,34.0,2191.0,11.0,13.0,718.0,299.0,47.0,42.0,56.0,8.0,43.0
b0892,4109.0,983.0,4259.0,484.0,2549.0,6387.0,9357.0,1456.0,4249.0,7289.0,694.0,1388.0
b4146,1416.0,514.0,2399.0,125.0,2389.0,3654.0,4447.0,790.0,2408.0,3527.0,668.0,557.0
b2123,94.0,36.0,151.0,10.0,33.0,268.0,141.0,45.0,229.0,162.0,10.0,24.0
b1796,3372.0,418.0,5.0,265.0,173.0,46.0,1635.0,1308.0,17.0,2569.0,105.0,131.0
b0073,80552.0,513.0,592.0,180.0,391.0,1391.0,131567.0,355.0,979.0,3616.0,483.0,383.0
b0409,4014.0,1164.0,7045.0,720.0,2366.0,14155.0,4060.0,1297.0,10007.0,5465.0,1072.0,2220.0
b1852,15791.0,2346.0,16926.0,1443.0,2540.0,25649.0,30678.0,3165.0,22776.0,30504.0,1456.0,4699.0
b4177,11233.0,4870.0,22209.0,4482.0,7977.0,39754.0,29523.0,6018.0,73687.0,82789.0,6764.0,22494.0
b2595,5881.0,1709.0,14967.0,568.0,3153.0,18013.0,13134.0,1983.0,13487.0,18219.0,1474.0,2968.0
b3839,1459.0,606.0,2803.0,288.0,1162.0,3674.0,1392.0,449.0,3906.0,2943.0,419.0,1212.0
b3085,389.0,119.0,893.0,75.0,285.0,1243.0,1103.0,366.0,2162.0,1940.0,192.0,310.0
b0291,524.0,86.0,546.0,1178.0,622.0,557.0,1573.0,721.0,155.0,250.0,11.0,421.0
b1854,13729.0,1653.0,18716.0,1307.0,1826.0,19647.0,19624.0,5500.0,8578.0,18313.0,634.0,3662.0
b4124,412.0,94.0,1202.0,57.0,179.0,1229.0,857.0,222.0,1216.0,788.0,67.0,396.0
b2421,763.0,266.0,3022.0,80.0,410.0,18523.0,2279.0,404.0,12065.0,5667.0,435.0,340.0
b2271,99.0,23.0,58.0,42.0,24.0,82.0,316.0,63.0,165.0,209.0,17.0,72.0
b1235,14115.0,402.0,9692.0,225.0,511.0,3213.0,16996.0,667.0,2334.0,8982.0,232.0,543.0
b1778,11689.0,511.0,16721.0,264.0,839.0,27619.0,26828.0,2622.0,23025.0,27960.0,331.0,1157.0
b3453,8809.0,203.0,16019.0,103.0,121.0,8087.0,18199.0,508.0,1153.0,3692.0,36.0,174.0
b1051,116428.0,531.0,212488.0,878.0,254.0,16150.0,96036.0,2802.0,6009.0,35779.0,117.0,913.0
b0831,1786.0,141.0,1514.0,98.0,147.0,2800.0,3017.0,261.0,2015.0,2459.0,96.0,227.0
b0467,702.0,177.0,888.0,66.0,247.0,1776.0,2520.0,386.0,1225.0,1954.0,138.0,319.0
b1482,96699.0,254.0,46833.0,474.0,176.0,2273.0,76459.0,1191.0,2270.0,33551.0,85.0,914.0
b2730,761.0,56.0,870.0,113.0,169.0,478.0,1108.0,428.0,312.0,487.0,44.0,463.0
b3033,4522.0,957.0,6520.0,335.0,1729.0,9233.0,9941.0,1744.0,8284.0,12200.0,962.0,2042.0
b1464,1143.0,532.0,1830.0,48.0,368.0,2562.0,5252.0,743.0,2554.0,3959.0,371.0,380.0
b0181,2561.0,360.0,4245.0,391.0,1411.0,4815.0,4029.0,1115.0,2837.0,3147.0,493.0,1497.0
b3233,35711.0,836.0,32332.0,1062.0,1410.0,33333.0,33968.0,5814.0,33013.0,44167.0,713.0,8023.0
b4347,485.0,24.0,286.0,25.0,179.0,1028.0,1973.0,453.0,80.0,274.0,16.0,58.0
b1108,15718.0,873.0,26841.0,630.0,1163.0,21647.0,22459.0,2153.0,15911.0,14044.0,428.0,3950.0
b2534,174.0,31.0,120.0,91.0,77.0,172.0,216.0,135.0,51.0,62.0,5.0,81.0
b2231,10450.0,5497.0,47203.0,2716.0,10366.0,70854.0,24683.0,4338.0,73593.0,37543.0,5425.0,12172.0
b0651,2135.0,243.0,5058.0,195.0,220.0,6805.0,5376.0,816.0,7455.0,11447.0,168.0,1867.0
b0049,2775.0,575.0,5202.0,263.0,1144.0,5612.0,10149.0,575.0,3863.0,7772.0,398.0,694.0
b1928,1062.0,236.0,2392.0,73.0,552.0,3659.0,1710.0,298.0,1000.0,643.0,219.0,262.0
b3673,128.0,43.0,2530.0,95.0,166.0,2124.0,275.0,143.0,1039.0,235.0,49.0,422.0
b2872,201.0,33.0,253.0,369.0,46.0,313.0,288.0,1860.0,211.0,362.0,25.0,12342.0
b1663,2353.0,209.0,1815.0,237.0,246.0,1129.0,1508.0,271.0,553.0,775.0,150.0,361.0
b1610,1107.0,236.0,1649.0,124.0,484.0,2874.0,2603.0,644.0,2261.0,2374.0,251.0,439.0
b4160,3226.0,1556.0,5467.0,541.0,5602.0,16061.0,15425.0,1732.0,9548.0,9306.0,1852.0,1991.0
b3348,162.0,40.0,565.0,23.0,151.0,825.0,141.0,122.0,1465.0,172.0,51.0,209.0
b2134,2867.0,1055.0,3074.0,244.0,2058.0,15938.0,10768.0,1437.0,14180.0,11986.0,1051.0,1927.0
b0437,20344.0,3530.0,23775.0,1220.0,4528.0,34754.0,37427.0,2551.0,27948.0,25052.0,1603.0,5610.0
b1195,904.0,5.0,372.0,8.0,9.0,168.0,1324.0,39.0,46.0,240.0,1.0,10.0
b2095,269.0,15.0,244.0,10.0,3.0,72.0,418.0,26.0,35.0,1256.0,1.0,75.0
b4110,1397.0,25.0,2988.0,178.0,23.0,1706.0,1286.0,70.0,56.0,192.0,4.0,204.0
b4085,255.0,48.0,1268.0,52.0,89.0,435.0,546.0,151.0,365.0,1617.0,46.0,367.0
b1248,2965.0,1242.0,4145.0,232.0,2123.0,3264.0,3138.0,1075.0,3673.0,3396.0,792.0,1036.0
b2746,1591.0,310.0,6252.0,234.0,877.0,9612.0,6583.0,1064.0,7417.0,6649.0,353.0,796.0
b3141,150.0,9.0,171.0,29.0,23.0,220.0,2715.0,74.0,89.0,4393.0,5.0,56.0
b4502,35.0,11.0,17.0,2.0,14.0,6.0,34.0,10.0,14.0,45.0,9.0,13.0
b3831,7263.0,1410.0,18758.0,951.0,2170.0,34139.0,28196.0,11542.0,20617.0,18058.0,1149.0,11884.0
b2751,569.0,200.0,7134.0,56.0,113.0,39141.0,994.0,204.0,40309.0,867.0,55.0,372.0
b1901,9474.0,41.0,3125.0,487.0,48.0,439.0,27730.0,1850.0,170.0,5220.0,11.0,1433.0
b0593,2792.0,1852.0,1106.0,1010.0,2742.0,1610.0,17606.0,6375.0,1114.0,32041.0,1802.0,8855.0
b0006,3262.0,3763.0,7222.0,809.0,2115.0,11056.0,6101.0,2948.0,5997.0,4125.0,709.0,2842.0
b1092,12393.0,5217.0,37266.0,3261.0,16666.0,92709.0,29504.0,8221.0,69798.0,38046.0,5381.0,10023.0
b0804,950.0,1016.0,512.0,78.0,267.0,1160.0,2106.0,323.0,513.0,3057.0,581.0,684.0
b0162,1294.0,98.0,3282.0,188.0,91.0,4063.0,2476.0,252.0,1477.0,4558.0,38.0,640.0
