,predict,resid,K-12,Gene Name
PROKKA_00101,4.471815914551852,0.1738408841076895,b1414,ydcF
PROKKA_00102,5.022613387906734,0.4272565595136486,b1413,hrpA
PROKKA_00103,7.5000452594499265,1.707986313214791,b1412,azoR
PROKKA_00105,5.989464115154682,-2.4024571901412495,b1406,pdxI
PROKKA_00108,5.29998268921711,-0.4248999293629563,b1383,ydbL
PROKKA_00109,5.169347144204691,-0.33349501326282827,b1382,ynbE
PROKKA_00110,4.107758983049578,0.3470178127200212,b1381,ydbH
PROKKA_00111,5.953215863003797,0.7139768155863866,b1380,ldhA
PROKKA_00112,5.1523224367690315,1.2709407133784438,b1379,hslJ
PROKKA_00113,6.914784570306244,-1.4643742951953733,b4529,ydbJ
PROKKA_00115,4.796023349895412,-0.7698404800342606,b1378,ydbK
PROKKA_00117,3.208306755957632,-1.1749187123334144,b1377,ompN
PROKKA_00118,8.453309780431368,-1.2915076413186686,b1376,uspF
PROKKA_00120,4.063576201167223,2.802393152869314,b1344,ttcA
PROKKA_00121,4.691604721172968,0.3093588029556038,b1343,dbpA
PROKKA_00122,7.443043222473278,-6.28734381427151,b4743,ynaL
PROKKA_00124,6.611909552813859,-1.7085162783039065,b1342,zntB
PROKKA_00126,6.357491534415644,-3.157378544576185,b1341,dgcM
PROKKA_00127,6.213656995040157,-1.166112986026417,b1340,smrA
PROKKA_00134,8.416600680933266,1.1541429758360344,b1334,fnr
PROKKA_00135,8.281212425856213,-0.8780515243584288,b1333,uspE
PROKKA_00136,8.48396261749423,-0.44263917797239927,b1332,ynaJ
PROKKA_00137,4.518398547227862,1.0154617778196018,b1330,ynaI
PROKKA_00138,6.117040164862118,-0.46017140040727256,b1329,mppA
PROKKA_00139,4.502566589150691,0.33773086824952436,b1328,pgrR
PROKKA_00140,6.161263160924181,-2.1501127241964877,b1327,ycjY
PROKKA_00142,4.224505323218439,-1.8781992322324759,b1326,mpaA
PROKKA_00143,5.790496882269496,-1.5639188391361705,b1325,ycjG
PROKKA_00144,8.14814236065153,-0.06963514170037399,b1324,tpx
PROKKA_00145,6.1134849354665235,-0.2032627113415284,b1323,tyrR
PROKKA_00146,3.754508623091129,0.9418786213089807,b1322,ycjF
PROKKA_00147,4.007238793216273,0.6855312796788544,b1321,ycjX
PROKKA_00148,3.4546889422794376,1.0302269481146986,b1320,ycjW
PROKKA_00149,1.8731261240906545,-0.8330857540930687,b1319,ompG
PROKKA_00151,0.7967544459601349,-0.22772069437919296,b1317,ycjU
PROKKA_00152,1.7922473610498277,-0.803901339518319,b1316,ycjT
PROKKA_00153,2.012026957676124,-1.1596889377103579,b1315,ycjS
PROKKA_00154,2.135275935951425,-0.747090503276447,b1314,ycjR
PROKKA_00155,2.2134744785225857,-1.068395825625897,b1313,ycjQ
PROKKA_00156,1.5690394493103708,-0.4745882364337266,b1312,ycjP
PROKKA_00157,1.023463538394343,-0.8592407390130229,b1311,ycjO
PROKKA_00158,1.282166930525875,-0.5530012648354804,b1310,ycjN
PROKKA_00159,1.355674834213243,-0.31380436433409487,b1309,ycjM
PROKKA_00161,7.0123370990034495,0.2407342332324438,b1308,pspE
PROKKA_00162,5.8614166618287005,1.2518582608034796,b1307,pspD
PROKKA_00163,4.812212447775519,1.2660879440058785,b1306,pspC
PROKKA_00164,6.558743835170118,2.5146350745902595,b1305,pspB
PROKKA_00165,8.19476140393648,2.1880906361857413,b1304,pspA
PROKKA_00166,4.112735939287749,0.13874261690625644,b1303,pspF
PROKKA_00167,5.4672995295030375,1.1233181162278463,b1295,ymjA
PROKKA_00168,4.227250911188467,0.2616877579374517,b1294,sapA
PROKKA_00169,3.9669696395553222,-0.09429878974425909,b1293,sapB
PROKKA_00170,3.5366871498587993,-0.5508408705470456,b1292,sapC
