,predict,resid,K-12,Gene Name
PROKKA_00387,2.4566928742784477,1.8226926770445568,b4593,ymgI
PROKKA_00388,5.304564825950805,0.2841111104909748,b1172,ymgG
PROKKA_00389,3.840444168128995,0.20364071006737472,b1171,ymgD
PROKKA_00395,5.562473425998322,-0.8471855299991775,b1167,ymgC
PROKKA_00396,5.77815450777081,-0.6026733835910889,b1166,ariR
PROKKA_00397,7.675286911777098,0.32322905649215716,b1164,ycgZ
PROKKA_00398,3.622729401799413,0.030050792535690984,b1163,bluF
PROKKA_00399,5.594897569299948,0.30128891034403704,b1162,bluR
PROKKA_00400,3.8748762880953525,1.261733670809308,b1161,ycgX
PROKKA_00401,8.19487260210138,1.6891025458094298,b1136,icd
PROKKA_00404,5.415966535319387,0.5482416668084076,b1135,rluE
PROKKA_00405,4.136969418735804,0.4504078652481942,b1134,nudJ
PROKKA_00406,6.632251399922037,0.9258741585322454,b1133,mnmA
PROKKA_00407,6.06884995714376,0.50532361770634,b1132,hflD
PROKKA_00408,6.489946850053154,0.06518426243030273,b1131,purB
PROKKA_00409,6.271427958915907,0.5993014429810186,b1130,phoP
PROKKA_00410,6.050421556312566,0.24381321855527194,b1129,phoQ
PROKKA_00411,5.43594729526598,0.812785243242204,b1128,roxA
PROKKA_00412,5.487384805290751,-0.22335085339188687,b1127,pepT
PROKKA_00413,6.402082902976708,1.1161679689454633,b1126,potA
PROKKA_00414,4.951169420621307,0.5125386326708963,b1125,potB
PROKKA_00415,4.993886878953968,1.307254060132081,b1124,potC
PROKKA_00416,6.522173622454752,1.5766700576585118,b1123,potD
PROKKA_00417,2.8096565806391425,1.7914816980752386,b1122,ymfA
PROKKA_00418,2.011005127651988,1.9609728040720813,b1121,ycfZ
PROKKA_00419,5.608124089810787,0.4454292163553779,b1120,cobB
PROKKA_00420,5.676973893933154,0.3763141163751431,b1119,nagK
PROKKA_00421,5.495392854266605,1.1522940123780323,b1118,lolE
PROKKA_00422,4.372567675739893,0.6096040416642525,b1117,lolD
PROKKA_00423,4.743996050623162,1.2213058714109337,b1116,lolC
PROKKA_00424,-0.6488229850675642,1.1300770217376792,b1115,ycfT
PROKKA_00425,4.2770761358743945,1.5063923445718501,b1114,mfd
PROKKA_00427,2.8230683614320293,1.6541714082822025,b1113,ldtC
PROKKA_00430,9.32605912454506,-2.727885817030237,b1112,bhsA
PROKKA_00431,5.452931530063333,0.1882131884910736,b1111,comR
PROKKA_00432,5.490335731001173,-1.0253133115336164,b1110,ycfJ
PROKKA_00433,7.436426160801977,1.3743884319443804,b1109,ndh
PROKKA_00434,7.423219184441242,0.003726266833024461,b1108,ycfP
PROKKA_00435,6.2047933909448805,0.1893611023446633,b1107,nagZ
PROKKA_00436,5.3171757290847355,0.32618421586522217,b1106,thiK
PROKKA_00437,6.098299000677382,0.2032924075461251,b1105,lpoB
PROKKA_00438,6.403405535110486,0.35706716407579187,b1104,ycfL
PROKKA_00439,6.4960000738748365,0.3631157066060897,b1103,hinT
PROKKA_00440,5.611431131698989,2.5233586080441803,b1102,fhuE
PROKKA_00441,7.7057452959937915,1.4103076813545599,b1101,ptsG
PROKKA_00442,5.584829734157819,1.0515881945510213,b1100,ycfH
PROKKA_00443,5.47117618942214,0.9110086690383561,b1099,holB
PROKKA_00444,6.3569114958212944,0.569461213346961,b1098,tmk
PROKKA_00445,5.682700004599856,0.7297837353269321,b1097,mltG
PROKKA_00446,5.9347920812297605,0.7917997049539185,b1096,pabC
PROKKA_00447,9.318068853220135,0.5542254762531247,b1095,fabF
PROKKA_00448,11.703505061873454,2.0045854992017045,b1094,acpP
PROKKA_00449,10.371781388636299,-0.2689923841265891,b1093,fabG
PROKKA_00450,9.098627903535405,0.12410709263477315,b1092,fabD
PROKKA_00451,7.758237575365712,0.421668319069056,b1091,fabH
PROKKA_00452,7.49195200921851,0.030142579101789302,b1090,plsX
PROKKA_00453,9.067659640608591,0.24066649911772942,b1089,rpmF
PROKKA_00454,10.711451974173526,0.7852065297595239,b1088,yceD
PROKKA_00456,5.315601555893053,0.7791327220586357,b1087,yceF
PROKKA_00457,6.310825288687513,1.6192537355738015,b1086,rluC
PROKKA_00459,7.632559921592945,-0.06103440080963196,b1084,rne
PROKKA_00460,2.9815246657773864,1.4302111927446948,b1083,flgL
PROKKA_00461,2.958538468540337,1.8298677099325742,b1082,flgK
PROKKA_00462,2.658392720418414,1.392696166015413,b1081,flgJ
PROKKA_00463,2.2428510834878175,1.4901322771315826,b1080,flgI
PROKKA_00464,2.051716249547173,2.020885399656674,b1079,flgH
PROKKA_00465,2.0212588179900806,2.2919659550157796,b1078,flgG
PROKKA_00466,2.724371421425728,1.091560487337977,b1077,flgF
PROKKA_00467,3.4635993850735796,2.585763037618964,b1076,flgE
