,HM43_LB_rep2,HM43_UR_rep1,HM43_UTI,HM43_UR_rep2,HM43_LB_rep1,HM43_mouse
PROKKA_00704,30.441516433854208,63.05916851802255,60.836292010876896,33.38942703264222,34.18712992138557,82.68435662890795
PROKKA_00705,22.720571672810284,18.29200271585096,10.428999065308705,31.613772100050838,23.349512478821215,49.50392784246986
PROKKA_00706,0.3842770723186841,2.822499609033612,20.79410522969535,13.235669741873377,1.1809998244363724,35.879323736473424
PROKKA_00707,1.114544502071062,3.8738241788344214,9.084207080571531,9.81772573088481,1.6756277682730625,55.91662777829023
PROKKA_00708,50.37692883269447,164.05499950713624,57.73423010640535,46.706557966304544,52.970996004968356,33.87818196989044
PROKKA_00709,61.528039931457094,39.89387426900366,197.88612517144492,19.925588747141013,63.50345018326683,145.87920017678718
PROKKA_00710,158.69441417655906,150.3832469533614,128.72837926549022,107.04516596144943,163.75519674043983,139.96087397831056
PROKKA_00711,24.18670838563035,33.17026516863287,23.856962104625953,24.11404464937005,25.798889604618015,21.671672151263333
PROKKA_00712,20.02395745961863,43.426411092839295,16.57025652522348,28.54262778385265,23.35937344313569,41.866748855729426
PROKKA_00713,245.14307349142697,341.8777859277108,122.59115758475774,350.0595245410987,232.02949882378113,208.86652763641754
PROKKA_00714,319.92890662881,1796.1011630660319,371.7537051433888,1789.889386639382,301.0480356699634,501.9764061083321
PROKKA_00715,9.820548932818928,4.237430174910185,32.877775565429204,3.0765076016744155,10.238045391946546,75.63642494573635
PROKKA_00716,681.435691160485,1618.6555842561281,714.8395794879254,1810.490479173831,664.0441976017204,907.9143738226078
PROKKA_00717,7.549839751942871,6.1462231264480796,8.023030518475453,3.887897930357589,8.11480181443706,15.127726052154769
PROKKA_00718,2723.6744376050433,5367.64011568762,1014.0081182042335,11923.674285810006,2726.9325308292905,1815.0298464302039
PROKKA_00719,1126.2347105244728,1479.6662944891132,375.7403400510927,1045.4101454856461,1103.5571950600831,805.6095178449299
PROKKA_00720,83.9165224884053,170.60031685620947,52.38237770284039,146.68457163458638,85.17538243316599,189.51948803544005
PROKKA_00721,67.0981094662719,167.54493458941965,61.345981418596416,175.56028324896783,63.8164474343867,125.4480302018887
PROKKA_00722,12.887012272001462,35.273878793993916,1.2411680685365147,35.624429583285156,12.904831135145416,9.741889478772235
PROKKA_00723,15.86992803389407,9.17018129931967,39.91678166920682,6.31115965457961,17.636861721954652,38.734480979986664
PROKKA_00724,159.85425966114596,331.9140234261379,59.644001044983256,689.8143425654664,133.0751670953026,21.834500457229893
PROKKA_00725,5.985608280167581,12.33032690771411,601.2663532042438,6.137099594466018,4.987839845985783,30.64414991268461
PROKKA_00726,12.011398356145447,35.253898110404904,159.40146209144672,30.641126498934664,11.80815116843707,29.73033901387285
PROKKA_00727,347.87251023062595,571.5273002620149,214.6512184999159,677.6604955105571,339.7979036781715,156.44485281676913
PROKKA_00728,34.64871740737115,90.24969370597171,458.3600628251453,118.96842103543564,36.151286367947726,167.728662603266
PROKKA_00729,143.0355274019612,673.4595849316933,78.41335558126515,392.4476475454649,143.6011429384312,111.77947029214467
