,predict,resid,K-12,Gene Name
PROKKA_00143,4.649624634507855,-0.42304659137453005,b1325,ycjG
PROKKA_00144,8.126008493937722,-0.047501274986565534,b1324,tpx
PROKKA_00145,5.934144586016155,-0.023922361891159483,b1323,tyrR
PROKKA_00146,4.766864272471326,-0.07047702807121681,b1322,ycjF
PROKKA_00147,4.6957532979554895,-0.0029832250603618604,b1321,ycjX
PROKKA_00148,4.744382899895476,-0.25946700950134005,b1320,ycjW
PROKKA_00149,1.3070479622447433,-0.26700759224715753,b1319,ompG
PROKKA_00151,0.9169020148468232,-0.3478682632658813,b1317,ycjU
PROKKA_00152,1.6009328566859158,-0.612586835154407,b1316,ycjT
PROKKA_00153,2.13138066603163,-1.279042646065864,b1315,ycjS
PROKKA_00154,2.454177288975346,-1.065991856300368,b1314,ycjR
PROKKA_00155,2.73777831914662,-1.592699666249931,b1313,ycjQ
PROKKA_00156,1.9584553030096798,-0.8640040901330357,b1312,ycjP
PROKKA_00157,1.075761888103614,-0.9115390887222939,b1311,ycjO
PROKKA_00158,1.5046226870393888,-0.7754570213489943,b1310,ycjN
PROKKA_00159,1.5205653638026972,-0.47869489392354914,b1309,ycjM
PROKKA_00161,8.30293115986339,-1.049859827627496,b1308,pspE
PROKKA_00162,5.094946188572974,2.0183287340592058,b1307,pspD
PROKKA_00163,4.255585023018945,1.8227153687624522,b1306,pspC
PROKKA_00164,5.432667127049027,3.6407117827113504,b1305,pspB
PROKKA_00165,7.244024407531064,3.138827632591158,b1304,pspA
PROKKA_00166,3.736346535749091,0.5151320204449141,b1303,pspF
PROKKA_00167,5.815072898702047,0.775544747028837,b1295,ymjA
PROKKA_00168,4.126819377443988,0.36211929168193,b1294,sapA
PROKKA_00169,3.8189084725088267,0.05376237730223643,b1293,sapB
PROKKA_00170,3.6364814666468095,-0.6506351873350558,b1292,sapC
PROKKA_00171,4.577913285118374,0.34512680909866766,b1291,sapD
PROKKA_00172,4.360871790475959,0.3989553261827812,b1290,sapF
PROKKA_00180,7.184461431107527,0.9785452492362445,b1288,fabI
PROKKA_00181,3.7761463556697588,1.373359721425476,b1287,yciW
PROKKA_00182,6.071205602641804,1.906928876564976,b1286,rnb
PROKKA_00183,7.301686506237975,-3.2793131859611524,b1285,pdeR
PROKKA_00184,6.77349939622392,3.1361684043195632,b4596,yciZ
PROKKA_00185,4.550124714741189,2.866781107873149,b1284,yciT
PROKKA_00186,8.333347328100901,-0.5599431613500716,b1283,osmB
PROKKA_00187,7.638518509570623,0.042968285582150934,b1282,yciH
PROKKA_00188,6.81833891621091,-0.23506829807777407,b1281,pyrF
PROKKA_00189,4.934249544312793,0.8247225356869663,b1280,lapB
PROKKA_00190,6.216401632042155,0.7747452929641021,b1279,lapA
PROKKA_00191,5.6695494939622035,-0.27680381436850077,b1278,pgpB
PROKKA_00192,5.757692989947136,0.2746131013485291,b1277,ribA
PROKKA_00193,6.961826982120181,-2.723957239846813,b1276,acnA
PROKKA_00195,6.71963950329217,-0.20686201192583376,b4523,yciX
PROKKA_00196,8.902858159286906,-0.7240789558254175,b4522,ymiA
PROKKA_00197,6.45257460766471,1.5961495639182033,b1275,cysB
PROKKA_00198,7.277512771864284,1.070458262979745,b1274,topA
